1ST CHOICE MAYOR MINNEAPOLIS,2ND CHOICE MAYOR MINNEAPOLIS,3RD CHOICE MAYOR MINNEAPOLIS
BETSY HODGES,undervote,undervote
BOB FINE,MARK ANDREW,undervote
KURTIS W. HANNA,BOB FINE,MIKE GOULD
BETSY HODGES,DON SAMUELS,undervote
DON SAMUELS,undervote,undervote
undervote,undervote,undervote
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,MARK ANDREW,undervote
CAM WINTON,undervote,undervote
NEAL BAXTER,BETSY HODGES,DON SAMUELS
BETSY HODGES,DON SAMUELS,MARK ANDREW
MARK ANDREW,DON SAMUELS,JAMES EVERETT
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
OLE SAVIOR,undervote,undervote
MARK ANDREW,BETSY HODGES,BOB FINE
MARK ANDREW,JACKIE CHERRYHOMES,undervote
BETSY HODGES,undervote,undervote
BETSY HODGES,DON SAMUELS,CAM WINTON
BETSY HODGES,BOB FINE,DON SAMUELS
BETSY HODGES,MARK ANDREW,JACKIE CHERRYHOMES
JACKIE CHERRYHOMES,DON SAMUELS,MARK ANDREW
JACKIE CHERRYHOMES,undervote,undervote
DOUG MANN,BETSY HODGES,DAN COHEN
BETSY HODGES,BOB FINE,DON SAMUELS
BETSY HODGES,STEPHANIE WOODRUFF,DON SAMUELS
MARK ANDREW,STEPHANIE WOODRUFF,undervote
CAM WINTON,DON SAMUELS,OLE SAVIOR
MARK V ANDERSON,DAN COHEN,BETSY HODGES
BETSY HODGES,JAYMIE KELLY,CHRISTOPHER ROBIN ZIMMERMAN
BOB FINE,OLE SAVIOR,DAN COHEN
MARK ANDREW,JACKIE CHERRYHOMES,BETSY HODGES
JAYMIE KELLY,BETSY HODGES,DON SAMUELS
MARK ANDREW,NEAL BAXTER,BETSY HODGES
MARK ANDREW,BETSY HODGES,BOB FINE
BETSY HODGES,DON SAMUELS,CAM WINTON
JACKIE CHERRYHOMES,DON SAMUELS,MARK ANDREW
DON SAMUELS,MARK ANDREW,OLE SAVIOR
BETSY HODGES,MARK ANDREW,ALICIA K. BENNETT
MARK ANDREW,BILL KAHN,TONY LANE
BOB FINE,BILL KAHN,CAM WINTON
BETSY HODGES,DON SAMUELS,MARK V ANDERSON
EDMUND BERNARD BRUYERE,undervote,undervote
BETSY HODGES,DON SAMUELS,BOB FINE
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,MARK ANDREW,DON SAMUELS
JACKIE CHERRYHOMES,BETSY HODGES,BOB FINE
DAN COHEN,OLE SAVIOR,CHRISTOPHER CLARK
BETSY HODGES,MARK ANDREW,DON SAMUELS
CAM WINTON,undervote,undervote
MARK ANDREW,JACKIE CHERRYHOMES,DON SAMUELS
JOSHUA REA,DON SAMUELS,BETSY HODGES
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,BETSY HODGES,DON SAMUELS
ALICIA K. BENNETT,BETSY HODGES,DON SAMUELS
BETSY HODGES,DOUG MANN,CAPTAIN JACK SPARROW
JACKIE CHERRYHOMES,DON SAMUELS,BETSY HODGES
DAN COHEN,JACKIE CHERRYHOMES,JAYMIE KELLY
JACKIE CHERRYHOMES,MARK ANDREW,CAM WINTON
BETSY HODGES,MARK ANDREW,STEPHANIE WOODRUFF
BETSY HODGES,DON SAMUELS,CAM WINTON
BETSY HODGES,undervote,undervote
CAM WINTON,BETSY HODGES,JACKIE CHERRYHOMES
MARK ANDREW,BETSY HODGES,BOB FINE
DON SAMUELS,JACKIE CHERRYHOMES,MARK ANDREW
CAM WINTON,OLE SAVIOR,BILL KAHN
BETSY HODGES,MARK ANDREW,DON SAMUELS
MARK ANDREW,BETSY HODGES,JEFFREY ALAN WAGNER
DON SAMUELS,JACKIE CHERRYHOMES,BETSY HODGES
BETSY HODGES,DON SAMUELS,MARK ANDREW
DON SAMUELS,DAN COHEN,BOB FINE
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,BOB FINE,GREGG A. IVERSON
undervote,undervote,undervote
DON SAMUELS,BETSY HODGES,MARK ANDREW
DOUG MANN,JAYMIE KELLY,BETSY HODGES
BETSY HODGES,CHRISTOPHER CLARK,OLE SAVIOR
MARK ANDREW,undervote,undervote
BETSY HODGES,JACKIE CHERRYHOMES,ALICIA K. BENNETT
JACKIE CHERRYHOMES,BOB FINE,ALICIA K. BENNETT
BETSY HODGES,MARK ANDREW,DON SAMUELS
CAM WINTON,BETSY HODGES,undervote
BETSY HODGES,DON SAMUELS,MARK ANDREW
BETSY HODGES,MARK ANDREW,undervote
BETSY HODGES,CAM WINTON,BOB FINE
BETSY HODGES,DON SAMUELS,MARK V ANDERSON
CAM WINTON,DAN COHEN,BETSY HODGES
JOSHUA REA,KURTIS W. HANNA,NEAL BAXTER
MARK ANDREW,DON SAMUELS,BETSY HODGES
CAM WINTON,MARK ANDREW,BETSY HODGES
MARK ANDREW,BETSY HODGES,undervote
BETSY HODGES,JACKIE CHERRYHOMES,undervote
OLE SAVIOR,OLE SAVIOR,OLE SAVIOR
DON SAMUELS,JACKIE CHERRYHOMES,"JAMES ""JIMMY"" L. STROUD, JR."
BETSY HODGES,MARK ANDREW,DON SAMUELS
ALICIA K. BENNETT,JEFFREY ALAN WAGNER,BETSY HODGES
JACKIE CHERRYHOMES,MARK V ANDERSON,BETSY HODGES
BETSY HODGES,MARK ANDREW,DON SAMUELS
BETSY HODGES,undervote,undervote
